,sentence,aspect,ground_truth,predict_label,result
0,The aspect_term is top notch as well.,bread,positive,positive,True
1,I have to say they have one of the fastest aspect_term in the city.,delivery times,positive,positive,True
2,aspect_term is always fresh and hot- ready to eat!,Food,positive,positive,True
3,Did I mention that the aspect_term is OUTSTANDING?,coffee,positive,positive,True
4,"Certainly not the best sushi in New York, however, it is always fresh, and the aspect_term is very clean, sterile.",place,positive,positive,True
5,"I trust the aspect_term at Go Sushi, it never disappoints.",people,positive,negative,False
6,"Straight-forward, no surprises, very decent aspect_term.",Japanese food,positive,positive,True
7,"BEST aspect_term, great aspect_term.",spicy tuna roll,positive,positive,True
8,"BEST aspect_term, great aspect_term.",asian salad,positive,positive,True
9,Try the aspect_term (not on aspect_term).,rose roll,positive,positive,True
10,Try the aspect_term (not on aspect_term).,menu,neutral,neutral,True
11,"I love the aspect_term, esp aspect_term, and the aspect_term is also VERY good.",drinks,positive,positive,True
12,"I love the aspect_term, esp aspect_term, and the aspect_term is also VERY good.",lychee martini,positive,positive,True
13,"I love the aspect_term, esp aspect_term, and the aspect_term is also VERY good.",food,positive,positive,True
14,"In fact, this was not a aspect_term and was barely eatable.",Nicoise salad,negative,negative,True
15,"While there's a decent aspect_term, it shouldn't take ten minutes to get your aspect_term and 45 for a aspect_term.",menu,positive,positive,True
16,"While there's a decent aspect_term, it shouldn't take ten minutes to get your aspect_term and 45 for a aspect_term.",drinks,neutral,neutral,True
17,"While there's a decent aspect_term, it shouldn't take ten minutes to get your aspect_term and 45 for a aspect_term.",dessert pizza,neutral,neutral,True
18,"Once we sailed, the top-notch aspect_term and aspect_term sold us on a unforgettable evening.",food,positive,positive,True
19,"Once we sailed, the top-notch aspect_term and aspect_term sold us on a unforgettable evening.",live entertainment,positive,positive,True
20,Our aspect_term was horrible; so rude and disinterested.,waiter,negative,negative,True
21,The aspect_term's - watered down.,sangria,negative,negative,True
22,"aspect_term - uneventful, small.",menu,negative,negative,True
23,Anytime and everytime I find myself in the neighborhood I will go to Sushi Rose for fresh aspect_term and great aspect_term all at a reasonable aspect_term.,sushi,positive,positive,True
24,Anytime and everytime I find myself in the neighborhood I will go to Sushi Rose for fresh aspect_term and great aspect_term all at a reasonable aspect_term.,portions,positive,positive,True
25,Anytime and everytime I find myself in the neighborhood I will go to Sushi Rose for fresh aspect_term and great aspect_term all at a reasonable aspect_term.,price,positive,positive,True
26,Great aspect_term but the aspect_term was dreadful!,food,positive,negative,False
27,Great aspect_term but the aspect_term was dreadful!,service,negative,negative,True
28,The aspect_term that came out were mediocre.,portions of the food,neutral,neutral,True
29,the two aspect_term looked like they had been sucking on lemons.,waitress's,negative,negative,True
30,"From the beginning, we were met by friendly aspect_term, and the convienent aspect_term at Chelsea Piers made it easy for us to get to the boat.",staff memebers,positive,positive,True
31,"From the beginning, we were met by friendly aspect_term, and the convienent aspect_term at Chelsea Piers made it easy for us to get to the boat.",parking,positive,positive,True
32,We enjoyed ourselves thoroughly and will be going back for the aspect_term ....,desserts,positive,positive,True
33,aspect_term are almost incredible: my personal favorite is their aspect_term.,Desserts,positive,positive,True
34,aspect_term are almost incredible: my personal favorite is their aspect_term.,Tart of the Day,positive,positive,True
35,"The aspect_term was extremely tasty, creatively presented and the aspect_term excellent.",food,positive,positive,True
36,"The aspect_term was extremely tasty, creatively presented and the aspect_term excellent.",wine,positive,positive,True
37,THE aspect_term WAS PROBABLY THE BEST I HAVE TASTED.,LASAGNA,positive,positive,True
