,sentence,aspect,ground_truth,predict_label,result
0,"aspect_term is super fast, around anywhere from 35 seconds to 1 minute.",Boot time,positive,positive,True
1,aspect_term would not fix the problem unless I bought your plan for $150 plus.,tech support,negative,negative,True
2,aspect_term was easy.,Set up,positive,positive,True
3,Did not enjoy the new aspect_term and aspect_term.,Windows 8,negative,negative,True
4,Did not enjoy the new aspect_term and aspect_term.,touchscreen functions,negative,negative,True
5,"Other than not being a fan of aspect_term (industry standard these days) and the lousy aspect_term, it's hard for me to find things about this notebook I don't like, especially considering the $350 aspect_term.",click pads,negative,positive,False
6,"Other than not being a fan of aspect_term (industry standard these days) and the lousy aspect_term, it's hard for me to find things about this notebook I don't like, especially considering the $350 aspect_term.",internal speakers,negative,negative,True
7,"Other than not being a fan of aspect_term (industry standard these days) and the lousy aspect_term, it's hard for me to find things about this notebook I don't like, especially considering the $350 aspect_term.",price tag,positive,negative,False
8,No aspect_term is included.,installation disk (DVD),neutral,negative,False
9,"It's fast, light, and simple to aspect_term.",use,positive,positive,True
10,"aspect_term well, and I am extremely happy to be back to an aspect_term.",Works,positive,neutral,False
11,"aspect_term well, and I am extremely happy to be back to an aspect_term.",apple OS,positive,neutral,False
12,Sure it's not light and slim but the aspect_term make up for it 100%.,features,positive,positive,True
13,"I am pleased with the fast aspect_term, speedy aspect_term and the long aspect_term (>6 hrs).",log on,positive,positive,True
14,"I am pleased with the fast aspect_term, speedy aspect_term and the long aspect_term (>6 hrs).",WiFi connection,positive,positive,True
15,"I am pleased with the fast aspect_term, speedy aspect_term and the long aspect_term (>6 hrs).",battery life,positive,positive,True
16,The Apple engineers have not yet discovered the aspect_term.,delete key,negative,negative,True
17,Made aspect_term (part of my business) very difficult to maintain.,interneting,negative,neutral,False
18,"Luckily, for all of us contemplating the decision, the Mac Mini is aspect_term just right.",priced,positive,positive,True
19,"Super light, super sexy and everything just aspect_term.",works,positive,positive,True
20,"Only problem that I had was that the aspect_term was not very good for me, I only had a problem once or twice with it, But probably my computer was a bit defective.",track pad,negative,negative,True
21,It is super fast and has outstanding aspect_term.,graphics,positive,positive,True
22,But the aspect_term is just too slow.,mountain lion,negative,negative,True
23,Strong aspect_term though which really adds to its aspect_term.,build,positive,positive,True
24,Strong aspect_term though which really adds to its aspect_term.,durability,positive,positive,True
25,The aspect_term is excellent- 6-7 hours without charging.,battery life,positive,negative,False
26,I've had my computer for 2 weeks already and it aspect_term perfectly.,works,positive,positive,True
27,And I may be the only one but I am really liking aspect_term.,Windows 8,positive,positive,True
28,The aspect_term is very longer.,baterry,positive,positive,True
29,Its aspect_term is ideal and the aspect_term is acceptable.,size,positive,positive,True
30,Its aspect_term is ideal and the aspect_term is acceptable.,weight,positive,positive,True
31,I can say that I am fully satisfied with the aspect_term that the computer has supplied.,performance,positive,negative,False
32,"This laptop has only 2 aspect_term, and they are both on the same side.",USB ports,negative,neutral,False
33,It has so much more aspect_term and the aspect_term is very sharp.,speed,positive,positive,True
34,It has so much more aspect_term and the aspect_term is very sharp.,screen,positive,positive,True
